age,income,employment_years,debt,loan_amount,credit_history_years,num_loans,late_payments,credit_utilization,savings,employment_status,payment_history,creditworthy
25,42133.0,5.9,16823.0,20399.0,5.4,0,6,0.33,44723.0,Employed,Good,1
55,53975.0,3.4,35598.0,28075.0,7.0,6,3,0.223,35827.0,Employed,Good,0
50,61135.0,8.8,14260.0,12375.0,7.0,2,1,0.3,24889.0,Employed,Poor,0
40,32826.0,11.7,19361.0,20385.0,3.3,2,2,0.188,18528.0,Employed,Excellent,1
40,70934.0,4.1,7439.0,31229.0,8.8,4,2,0.596,54896.0,Employed,Good,1
59,56386.0,7.9,19483.0,24313.0,0.5,0,0,0.417,42075.0,Employed,Excellent,1
24,18000.0,5.0,5465.0,1187.0,14.0,4,5,0.139,4090.0,Self-employed,Excellent,1
52,18000.0,7.5,6668.0,8179.0,10.2,4,3,0.711,5366.0,Employed,Poor,0
30,54729.0,12.3,38965.0,31274.0,9.6,6,0,0.375,21777.0,Employed,Excellent,1
25,50139.0,8.0,31071.0,20589.0,0.5,0,0,0.168,44114.0,Employed,Excellent,1
44,52725.0,0.0,38934.0,16437.0,3.8,0,2,0.693,13247.0,Employed,Good,0
64,54384.0,7.8,31337.0,32724.0,12.6,6,3,0.598,43434.0,Employed,Good,1
54,59962.0,10.9,35374.0,16188.0,23.6,2,4,0.257,10200.0,Self-employed,Good,1
55,75848.0,5.1,29453.0,41001.0,11.8,0,0,0.177,64023.0,Employed,,0
53,30556.0,10.0,20930.0,10117.0,11.1,4,2,0.388,7215.0,Self-employed,Average,0
56,29217.0,3.2,18202.0,11218.0,9.1,3,3,0.641,22638.0,Employed,Good,0
44,30947.0,0.1,18036.0,1000.0,3.6,7,2,0.504,17654.0,Employed,Average,0
26,61356.0,6.6,12675.0,7865.0,11.0,7,0,0.27,42399.0,Employed,Average,1
58,82389.0,0.0,32809.0,37937.0,2.6,4,2,0.171,60590.0,Employed,Excellent,1
41,45511.0,5.0,,8752.0,2.2,1,1,0.359,3807.0,Employed,Average,0
43,18000.0,11.1,3055.0,11223.0,1.9,5,2,0.462,5054.0,Employed,Good,0
37,18000.0,0.0,10796.0,10017.0,10.9,1,0,0.464,0.0,Self-employed,Average,0
29,36673.0,0.9,26315.0,2554.0,6.8,6,1,0.784,24955.0,Employed,Excellent,1
62,42730.0,1.9,14185.0,7453.0,7.4,4,1,0.304,25391.0,Employed,Average,0
56,46015.0,5.7,7473.0,23114.0,6.9,2,0,0.23,13487.0,Self-employed,Average,1
49,55849.0,4.5,10484.0,24515.0,2.5,7,1,0.187,46253.0,Employed,Average,1
39,48142.0,11.6,11652.0,21649.0,4.3,4,3,0.769,17685.0,Employed,Excellent,1
58,78085.0,9.8,35839.0,10287.0,4.5,3,2,0.203,23812.0,Employed,Excellent,1
45,40128.0,8.0,32477.0,19145.0,1.4,1,5,0.676,14866.0,Employed,Average,0
40,36029.0,6.6,26551.0,11701.0,5.0,5,1,0.551,32601.0,Self-employed,Good,1
41,65535.0,7.6,31235.0,32692.0,2.7,2,4,0.311,2396.0,Employed,Poor,0
31,21216.0,2.6,16362.0,6603.0,9.3,1,1,0.348,17607.0,Employed,Good,1
25,63573.0,9.4,23705.0,1000.0,9.6,0,2,0.353,43896.0,Employed,Excellent,1
45,57256.0,1.6,42239.0,33419.0,1.8,5,2,0.514,32487.0,Employed,Average,0
60,51756.0,9.3,7066.0,28219.0,5.8,7,3,0.642,11165.0,Employed,Average,0
23,89942.0,10.7,9214.0,18238.0,14.4,2,0,0.68,60833.0,Employed,Good,1
59,41311.0,6.8,37465.0,25873.0,3.1,1,0,0.264,32662.0,Unemployed,Average,0
58,100327.0,5.3,66668.0,17074.0,8.7,4,1,0.824,51077.0,Employed,Good,0
33,50041.0,7.6,12068.0,8689.0,7.4,1,2,0.344,21546.0,Employed,Excellent,1
49,26906.0,0.0,16935.0,4635.0,11.4,0,2,0.671,2722.0,Employed,Excellent,1
28,56538.0,7.2,25339.0,16058.0,8.2,5,1,0.301,31645.0,Employed,Good,0
55,31323.0,5.5,6365.0,1592.0,5.3,4,2,0.547,8269.0,Employed,Average,1
52,38461.0,5.8,10522.0,7275.0,7.3,0,2,0.729,29830.0,Unemployed,Good,0
36,63735.0,8.8,12962.0,6939.0,7.3,1,2,0.521,18036.0,Self-employed,Average,0
24,67223.0,5.7,24569.0,28201.0,6.6,1,2,0.78,42231.0,Employed,Excellent,1
64,41312.0,1.4,15030.0,19764.0,1.7,5,3,0.137,11783.0,Self-employed,Average,0
41,76723.0,5.4,26886.0,35810.0,12.0,5,0,0.32,43199.0,Self-employed,Good,1
61,80465.0,6.3,12219.0,13291.0,11.3,5,2,0.354,71479.0,Employed,Excellent,1
51,86599.0,6.5,58975.0,54901.0,2.8,0,2,0.715,37320.0,Unemployed,Good,0
56,66647.0,6.6,35033.0,8599.0,5.8,6,3,0.521,11731.0,Self-employed,Poor,0
55,84995.0,10.2,56485.0,42544.0,6.1,1,3,0.305,49569.0,Self-employed,Poor,0
29,18000.0,1.7,500.0,2045.0,2.4,7,3,0.314,8509.0,Employed,Good,1
37,48006.0,6.7,23537.0,11606.0,0.5,6,1,0.862,35733.0,Employed,Good,0
42,35926.0,11.2,18571.0,2381.0,4.3,3,3,0.368,43619.0,Self-employed,Excellent,1
43,57623.0,0.0,17944.0,34448.0,5.6,6,1,0.361,37745.0,Employed,Good,1
22,42428.0,6.7,12443.0,24468.0,1.2,5,1,0.124,33677.0,Unemployed,Good,0
45,51345.0,3.7,,22413.0,7.7,6,2,0.434,16721.0,Employed,Poor,0
27,96408.0,4.5,22429.0,59108.0,11.7,0,0,0.341,28092.0,Employed,Good,1
54,51266.0,2.4,20105.0,26393.0,10.4,0,1,0.531,16761.0,Self-employed,Excellent,1
51,64103.0,5.3,9718.0,8408.0,6.5,7,1,0.505,40546.0,Employed,Poor,0
62,49890.0,13.4,14115.0,23046.0,0.5,6,1,0.292,19767.0,Employed,Average,0
54,,0.9,40965.0,14968.0,9.9,4,2,0.834,13878.0,,,1
37,55132.0,1.3,4313.0,20840.0,7.6,2,1,0.454,47989.0,Self-employed,Average,1
64,64863.0,0.8,18221.0,8531.0,8.7,3,1,0.551,17371.0,Employed,Good,1
39,80637.0,12.9,45940.0,50311.0,14.7,3,1,0.454,21421.0,Employed,Good,0
35,91243.0,4.2,22375.0,38292.0,3.7,3,2,0.134,29139.0,Employed,Excellent,1
61,61812.0,5.9,16550.0,14879.0,0.5,5,1,0.152,15840.0,Employed,Good,1
37,67970.0,4.4,4324.0,16112.0,2.8,6,3,0.601,7585.0,Self-employed,Excellent,1
24,29681.0,2.2,3757.0,11623.0,8.9,3,5,0.269,22539.0,Employed,Average,0
42,53067.0,5.1,30540.0,31063.0,,6,2,0.296,25260.0,Employed,Good,0
56,75686.0,15.8,8338.0,45164.0,2.1,0,2,0.528,50566.0,Employed,Good,1
29,74051.0,11.6,13232.0,14403.0,1.3,6,1,0.6,28529.0,Employed,Poor,0
41,59655.0,2.6,45652.0,19837.0,5.6,5,0,0.522,30771.0,Employed,Poor,0
26,74501.0,8.6,46497.0,31462.0,2.0,4,3,0.679,39626.0,Employed,Average,0
51,65797.0,2.7,18127.0,17714.0,9.1,3,1,0.276,47985.0,Self-employed,Average,1
42,81407.0,0.0,17912.0,26723.0,5.4,2,2,0.317,61666.0,Unemployed,Poor,0
35,61366.0,10.1,23284.0,8933.0,4.5,2,0,0.356,37283.0,Employed,Average,0
31,47175.0,10.6,26812.0,8846.0,4.0,7,0,0.318,12317.0,Self-employed,Good,0
46,62389.0,10.2,35987.0,16922.0,8.1,0,3,0.125,3812.0,Employed,Excellent,0
51,18000.0,4.1,8435.0,4992.0,7.2,5,1,0.068,2118.0,Employed,Excellent,1
63,63423.0,5.3,9110.0,18063.0,7.8,7,1,0.683,55300.0,Employed,Good,1
40,18000.0,9.0,3914.0,1000.0,7.7,4,4,0.497,18261.0,Employed,Good,0
